id,description,Ollama_Response
2269948,"1976 May 29 and May 31 are correct, but May 30 results in invalid date:

$ rpm -q --whatprovides /usr/bin/date
coreutils-9.3-5.fc39.x86_64
$ /usr/bin/date --date ""1976-05-30""
/usr/bin/date: data ""1976-05-30"" non valida
$ /usr/bin/date --date ""1976-05-29""
sab 29 mag 1976, 00:00:00, CET
$ /usr/bin/date --date ""1976-05-31""
lun 31 mag 1976, 00:00:00, CEST
$ /usr/bin/date --date ""30 May 1976""
/usr/bin/date: data ""30 May 1976"" non valida
$ /usr/bin/date --date ""29 May 1976""
sab 29 mag 1976, 00:00:00, CET
$ /usr/bin/date --date ""1 May 1976""
sab 1 mag 1976, 00:00:00, CET

$ cal 05 1976
     maggio 1976    
lu ma me gi ve sa do
                1  2
 3  4  5  6  7  8  9
10 11 12 13 14 15 16
17 18 19 20 21 22 23
24 25 26 27 28 29 30
31                  



Reproducible: Always

Steps to Reproduce:
1./usr/bin/date --date ""1976-05-30""
2.
3.
Actual Results:  
/usr/bin/date: data ""30 May 1976"" non valida

Expected Results:  
dom 30 mag 1976, 00:00:00, CET


same wrong result on Kali Linux","/usr/bin/date --date ""1976-05-30"""
2126206,"Description of problem:
uname -i/p does not work


Version-Release number of selected component (if applicable):
Latest RAWHIDE:
6.0.0-0.rc4.20220909git506357871c18.34.fc38.x86_64

How reproducible:
uname -u


Steps to Reproduce:
1. Install RAWHIDE
2. Run uname -i or -p


Actual results:
$ uname -i
unknown
$ uname -p
unknown

Expected results:
$ uname -i
x86_64
$ $ uname -p
x86_64


Additional info:",None
2261852,"ENV:
HOST OS : Fedora38
Architecture : ppc64-LE
kernel : i) 6.8.0-rc2 (Upstream kernel)
         ii) 6.6.13-200.fc39.ppc64le (Latest fedora kernel)

uname --processor command is not giving the expected output! I have tried with upstream kernel and fedora kernel both. It is broken from Fedora38 and above!

Steps to reproduce:
1) uname --processor

Expected output:
ppc64le

Actual output:
unknown

It is working fine with coreutils-9.1-7.fc37.ppc64le but broken from coreutils-9.1-12.fc38.ppc64le and above.",uname --processor
2258913,"Since coreutils 9.2 https://github.com/coreutils/coreutils/commit/40bf1591b
introduced a heap overflow issue, which can be triggered like:

    { printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in
    split -C 131072 ---io=131072 in

That will dump core, but as with all heap overflows is a potential security issue.
I'll leave it up to you to determine whether a CVE is required.

There is already a patch upstream, but it's not flagged as a security issue,
in an abundance of caution, in case this issue in more security sensitive than first envisaged. The upstream patch is:
https://github.com/coreutils/coreutils/commit/c4c5ed8f4.patch","```bash
{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in
split -C 131072 ---io=131072 in
```"
2256513,"coreutils-9.3-4.fc39.x86_64 does not provide ""/bin/ln"".
Previous version, e.g. coreutils-9.1-12.fc38.x86_64 privides ""/bin/ln"".

We have a backup software (Tivoli Storage Manager Client) that uses gskssl64 (gskssl64-8.0-55.31.x86_64.rpm) which requires ""/bin/ln"".
This was no problem up to Fedora 38.
On Fedora 39 this package doesn't install because of missing dependencies.

On Fedora package source I found the following patch for rpms/coreutils:

 3040113 coreutils-provides.inc: remove obsolete Provides 

But why was this removed, so that other requires are broken?

Other packages still provides (absolute) paths, e.g. bash provides ""/bin/sh"".


Reproducible: Always","```bash
rpm -qf /bin/ln
```"
2248503,"coreutils-9.1-12.fc38.x86_64

[root@buildserver:~]$ uname -i
unknown

this is breaking scripts expecting to get x86_64",uname -i
2160675,"Description of problem:

Kamile, kindly please merge latest changes to Gnulib that implement the changes requested, see the recent commit:

commit eb6a8a4dfbe89f9f74666df082255cfefa10a407
Author: Ondrej Valousek <ondrej.valousek.xm@renesas.com>
Date:   Wed Jan 4 15:34:26 2023 +0100

    qcopy-acl: Optimize copying of ACLs by directly copying the attributes.
    
    * lib/qcopy-acl.c (is_attr_permissions): New functions.
    (qcopy_acl): If USE_XATTR, copy the ACL related attributes directly.
    * m4/xattr.m4: New file.
    * modules/qcopy-acl (Files): Add it.
    (configure.ac): Invoke gl_FUNC_XATTR.

which implements the requested functionality.
Note, you'd also need to revert the changes you made to /etc/xattr.conf to make this work.

Many thanks",None
1121021,"Description of problem:
I used sshfs to mount a remote location in a user dir as a normal user.
The mount was successful. After doing my work I executed df by root which did not show fuse mount but executed as the same user the fuse mount showed in df.

Version-Release number of selected component (if applicable):


How reproducible:
Mount a remote location in home dir/dir through sshfs as a normal user
execute df as root
excute df as the same uaer which mounted the remote location.

Steps to Reproduce:
1.
2.
3.

Actual results:
[vikram@mail2 ~]$ df
Filesystem                1K-blocks      Used Available Use% Mounted on
/dev/sdb6                 153942744  66849904  84503912  45% /
devtmpfs                    1520368         0   1520368   0% /dev
tmpfs                       1527604     99060   1428544   7% /dev/shm
tmpfs                       1527604       932   1526672   1% /run
tmpfs                       1527604         0   1527604   0% /sys/fs/cgroup
tmpfs                       1527604       708   1526896   1% /tmp
/dev/sda1                   1515376    172140   1248212  13% /boot
/dev/dm-0                 330327632 240421328  87183640  74% /home/vikram
root@125.XX.XXX.XXX:/root  51606140   3660076  45324624   8% /home/vikram/someremoteloc


[root@mail2 ~]# df
Filesystem                1K-blocks      Used Available Use% Mounted on
/dev/sdb6                 153942744  66850280  84503560  45% /
devtmpfs                    1520368         0   1520368   0% /dev
tmpfs                       1527604     99060   1428544   7% /dev/shm
tmpfs                       1527604       932   1526672   1% /run
tmpfs                       1527604         0   1527604   0% /sys/fs/cgroup
tmpfs                       1527604       708   1526896   1% /tmp
/dev/sda1                   1515376    172140   1248212  13% /boot
/dev/dm-0                 330327632 240421552  87183456  74% /home/vikram

[root@mail2 ~]# uptime
 13:20:10 up 7 days, 19:14, 15 users,  load average: 0.21, 0.18, 0.48

[root@mail2 ~]# uname -a
Linux mail2.xxx 3.15.3-200.fc20.x86_64 #1 SMP Tue Jul 1 16:18:00 UTC 2014 x86_64 x86_64 x86_64 GNU/Linux

[root@mail2 ~]# rpm -qf `which sshfs`
fuse-sshfs-2.4-5.fc20.x86_64

Expected results:
command 'mount' as a normal user & as root shows the fuse mount in output.

Additional info:
It seems to be a bug. If not, please excuse me for unnecessary noise.
Thanks","```bash
sshfs user@remote_host:/path/to/remote /home/user/someremoteloc
df
sudo df
fusermount -u /home/user/someremoteloc
```"
2236321,"coreutils-9.3 brought changes to the behavior of the -v option which broke some of my automation scripts.  I am unlikely to be the only one negatively impacted by this change.

Because of this I have been blocking updates to coreutils in Rawhide and Fedora 39. and I'm running coreutils-9.2-4.fc39.x86_64.

This change in the -v option has been reverted in 9.4 (released 2023-08-29).  From [1]:

** Changes in behavior

  'cp -v' and 'mv -v' will no longer output a message for each file skipped
  due to -i, or -u.  Instead they only output this information with --debug.
  I.e., 'cp -u -v' etc. will have the same verbosity as before
  coreutils-9.3.

Understanding it would be risky pushing 9.4 into Fedora 39 at this late stage, would it be possible to backport just the patch that fixes this issue?

I am going to propose this as a freeze exception for the 39 beta.

[1] https://github.com/coreutils/coreutils/blob/master/NEWS


Reproducible: Always","```bash
cp -u -v source_file destination_file
mv -u -v source_file destination_file
```"
2236739,"Version-Release number of selected component:
coreutils-9.3-2.fc39

Additional info:
reporter:       libreport-2.17.11
type:           CCpp
reason:         sleep killed by SIGSEGV
journald_cursor: s=8475a28c803f4cad9e16e3fbb591975e;i=104d;b=393d77e550c249d5a002327a7c214f5f;m=44b391aec;t=6044b572b0507;x=6f6ab7278cb98dbe
executable:     /usr/bin/sleep
cmdline:        sleep 50
cgroup:         0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-org.gnome.Terminal.slice/vte-spawn-3769a869-bee2-4fe9-abde-66c2397f5f4b.scope
rootdir:        /
uid:            1000
kernel:         6.5.0-0.rc7.20230821gitf7757129e3de.50.fc39.x86_64
package:        coreutils-9.3-2.fc39
runlevel:       N 5
backtrace_rating: 4
crash_function: __clock_nanosleep

Truncated backtrace:
Thread no. 1 (4 frames)
 #0 __clock_nanosleep at ../sysdeps/unix/sysv/linux/clock_nanosleep.c:71
 #1 __nanosleep at ../sysdeps/unix/sysv/linux/nanosleep.c:25
 #2 rpl_nanosleep at ../lib/nanosleep.c:81
 #3 xnanosleep at ../lib/xnanosleep.c:69


Potential duplicate: bug 2066546",sleep 50
2208048,"$ rpm -q coreutils
coreutils-9.1-12.fc38.x86_64
$ uname -i
unknown

debugging the code in GDB the problem seems to be a configuration problem at build time. The problem is this little block of code:

            if (toprint & PRINT_HARDWARE_PLATFORM)
              {
                char const *element = unknown;
          #if HAVE_SYSINFO && defined SI_PLATFORM
                {
                  static char hardware_platform[257];
                  if (0 <= sysinfo (SI_PLATFORM,
                                    hardware_platform, sizeof hardware_platform))
                    element = hardware_platform;
                }
          #endif
          #ifdef UNAME_HARDWARE_PLATFORM
                if (element == unknown)
                  {
                    static char hardware_platform[257];
                    size_t s = sizeof hardware_platform;
                    static int mib[] = { CTL_HW, UNAME_HARDWARE_PLATFORM };
                    if (sysctl (mib, 2, hardware_platform, &s, 0, 0) >= 0)
                      element = hardware_platform;
                  }
          #endif
                if (! (toprint == UINT_MAX && element == unknown))
          =>      print_element (element);
              }
         

What is happening is both: 
 #if HAVE_SYSINFO && defined SI_PLATFORM
and 
  #ifdef UNAME_HARDWARE_PLATFORM
are false and so neither sysinfo nor sysctl are being called.

Reproducible: Always

Actual Results:  
unknown

Expected Results:  
x86_64 (or whatever the arch is)

also seems to affect: coreutils-9.3-1.fc39",None
2203350,"On Fedora 38 and later, running `uname -p` says ""unknown"". On Fedora 37 - at least Fedora 37 original release images, haven't checked an updated system yet - `uname -p` gives the arch, at least on my system and VMs running on that system it does (x86_64).

This is an issue because Python `platform.processor()` basically just returns the output of `uname -p`, or an empty string if it's ""unknown"". I have a script that relies on that output to figure out what arch it's running on, which was broken because of this - I had to implement a fallback to `platform.machine()` if the output of `platform.processor()` is empty.

Reproducible: Always

Steps to Reproduce:
1. Run `uname -p`

Actual Results:  
It says ""unknown""

Expected Results:  
It should say something...more useful",uname -p
2189656,"Lots of little shells scripts I have now no longer work because the -p opton on uname has changed. It will probably take months to locate every script that uses uname -p and change it to use uname -m instead. Please fix uname to work the way it always has.

Reproducible: Always

Steps to Reproduce:
1.uname -p
2.see it echo ""unknown""
3.
Actual Results:  
unknown

Expected Results:  
x86_64",uname -p
2188689,"in Fedora 37 uname -i returns aarch64 and in fedora 38 it returns unknown

[root@martouf ~]# rpm -q coreutils
coreutils-9.1-7.fc37.aarch64
[root@martouf ~]# uname -i
aarch64
[root@hathor ~]# rpm -q coreutils
coreutils-9.1-11.fc38.aarch64
[root@hathor ~]# uname -i
unknown


both machines are the same type Nvidia Jetson Nanon Developer Kits, I have seen the same unknown behaviour on other hardware platforms 


Reproducible: Always",uname -i
1646701,"coreutils-8.29-7.fc28.x86_64 provides /bin/basename, coreutils-8.30-5.fc29.x86_64 does not.

Version:
coreutils-8.30-5.fc29.x86_64

+++ This bug was initially created as a clone of Bug #1646699 +++

Description of problem:
Ths last of the Adobe acrobat reader requires libidn.so.11

  - nothing provides libidn.so.11 needed by AdobeReader_enu-9.5.5-1.i486
  - nothing provides /bin/basename needed by AdobeReader_enu-9.5.5-1.i486

Version-Release number of selected component (if applicable):
libidn-1.35-3.fc29.i686
libidn-1.35-3.fc29.x86_64

How reproducible:
always

Steps to Reproduce:
1. Try to install adobe acrobat reader...
2.
3.

Actual results:
libidn on fedora 29 provides libidn.so.12

Expected results:
compat-libidn provides the older version?


Additional info:
The actual experience was that Adobe Acrobat Reader was blocking the libidn upgrade from fc28... and '--best --allow-erasing' caused it to be uninstalled.",None
2175057,"Version-Release number of selected component:
coreutils-9.1-11.fc38

Additional info:
reporter:       libreport-2.17.8
crash_function: pause
backtrace_rating: 0
runlevel:       N 5
package:        coreutils-9.1-11.fc38
kernel:         6.2.1-300.fc38.x86_64
uid:            1000
rootdir:        /
cgroup:         0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-org.gnome.Terminal.slice/vte-spawn-b3fa1078-b809-496c-8410-6205a067adb3.scope
cmdline:        sleep infinity
executable:     /usr/bin/sleep
journald_cursor: s=540bb1131c854b37aa093c510e4c08ef;i=9972;b=db08ea6680b14dd48047591dac345616;m=1fc7bad5;t=5f5f7f3e2ca97;x=f0e8780e68364227
reason:         sleep killed by SIGABRT
type:           CCpp

Truncated backtrace:
Thread no. 1 (1 frames)
 #0 pause","sleep infinity  
kill -SIGABRT $(pgrep sleep)"
2172323,"Version-Release number of selected component:
coreutils-9.1-11.fc38

Additional info:
reporter:       libreport-2.17.6
type:           CCpp
reason:         sleep killed by SIGSEGV
journald_cursor: s=5bd12c97d0ca478a853c26c17fec71d8;i=2875;b=ddb34e8d967a47a8a90f7ffad4ecff4e;m=cdf06a39c;t=5f53ef5b1335e;x=805b1c870c08562e
executable:     /usr/bin/sleep
cmdline:        sleep 500
cgroup:         0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-org.gnome.Terminal.slice/vte-spawn-f6bd205c-d277-4e7e-885d-0e7c62392258.scope
rootdir:        /
uid:            0
kernel:         6.2.0-0.rc8.57.fc38.x86_64
package:        coreutils-9.1-11.fc38
runlevel:       N 5
backtrace_rating: 4
crash_function: __clock_nanosleep

Truncated backtrace:
Thread no. 1 (4 frames)
 #0 __clock_nanosleep at ../sysdeps/unix/sysv/linux/clock_nanosleep.c:71
 #1 __nanosleep at ../sysdeps/unix/sysv/linux/nanosleep.c:25
 #2 rpl_nanosleep at ../lib/nanosleep.c:83
 #3 xnanosleep at ../lib/xnanosleep.c:69


Potential duplicate: bug {crossver_id}",sleep 500
2162873,"Description of problem:
This is really wild. 
[root@gsm-r6s18-01 /]# uname -p
unknown

[root@gsm-r6s18-01 /]# arch
x86_64

[root@gsm-r6s18-01 /]# cat /proc/cpuinfo 
processor	: 0
vendor_id	: GenuineIntel
cpu family	: 6
model		: 42
model name	: Intel(R) Pentium(R) CPU G640 @ 2.80GHz


Version-Release number of selected component (if applicable):
coreutils-9.1-10.fc38.x86_64

How reproducible:
always",None
1830619,"User-Agent:       Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
Build Identifier: 

When:

1. Date locale format in terminal is set to:
LC_TIME=""en_US.UTF-8""
2. When ""date"" command is issued, either as ""date"" alone or ""date +%c""

The output date is in the incorrect format.

For example, at the time of this bug, the output is:
Sat 02 May 2020 07:44:45 PM MST

In common United States date format, it should read
Sat May 02, 2020 07:44:45 PM MST


Reproducible: Always

Steps to Reproduce:
1. Set date format environment to ""en_US.UTF-8""
2. Issue ""date"" command or with ""date +%c""
Actual Results:  
Date outputs in incorrect date format per United States standards. IE:
Sat 02 May 2020 07:44:45 PM MST

Expected Results:  
Date should output per United States standards. IE
Sat May 02, 2020 07:44:45 PM MST

This is likely an issue with the way that locales are handled.","```bash
LC_TIME=""en_US.UTF-8"" date +%c
```"
2150513,"Description of problem:
Starting Vivaldi after update to version vivaldi-stable-5.5.2805.50-1.x86_64 

Version-Release number of selected component:
coreutils-9.1-6.fc37

Additional info:
reporter:       libreport-2.17.4
backtrace_rating: 3
cgroup:         0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.Shell@wayland.service
cmdline:        cat
crash_function: memset
executable:     /usr/bin/cat
journald_cursor: s=2890c4b8761d4f03ade9b3dd7aa8bb56;i=e76c0;b=54660521df9b4b91beafadd8307303b0;m=1bb74b4cf;t=5eeee55ec5946;x=17847bd7e4431df2
kernel:         6.0.10-300.fc37.x86_64
rootdir:        /
runlevel:       N 5
type:           CCpp
uid:            1000

Truncated backtrace:
Thread no. 1 (10 frames)
 #0 memset at ../sysdeps/x86_64/multiarch/../multiarch/memset-vec-unaligned-erms.S:252
 #1 _dl_map_segments at ./dl-map-segments.h:176
 #2 _dl_map_object_from_fd at dl-load.c:1268
 #3 _dl_map_object at dl-load.c:2253
 #4 map_doit at rtld.c:647
 #5 _dl_catch_exception at /usr/src/debug/glibc-2.36-8.fc37.x86_64/elf/dl-error-skeleton.c:208
 #6 _dl_catch_error at /usr/src/debug/glibc-2.36-8.fc37.x86_64/elf/dl-error-skeleton.c:227
 #7 do_preload at rtld.c:822
 #8 handle_preload_list at rtld.c:898
 #9 dl_main at rtld.c:1857

Potential duplicate: bug 2075582",None
2138908,"Version-Release number of selected component:
coreutils-9.0-8.fc36

Additional info:
reporter:       libreport-2.17.4
backtrace_rating: 3
cgroup:         0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome-vivaldi\x2dstable-2757.scope
cmdline:        cat
crash_function: memset
executable:     /usr/bin/cat
journald_cursor: s=cbf7783114f9429b8b0122bd845d9447;i=597cfa;b=4e4b496009614a62aafdf61c48e62cdb;m=20752bb;t=5ec1d213392b2;x=caa124c2bd0c06c1
kernel:         5.19.17-200.fc36.x86_64
rootdir:        /
runlevel:       N 5
type:           CCpp
uid:            1000

Truncated backtrace:
Thread no. 1 (10 frames)
 #0 memset at ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S:252
 #1 _dl_map_segments at ./dl-map-segments.h:177
 #2 _dl_map_object_from_fd at dl-load.c:1258
 #3 _dl_map_object at dl-load.c:2309
 #4 map_doit at rtld.c:666
 #5 _dl_catch_exception at /usr/src/debug/glibc-2.35-20.fc36.x86_64/elf/dl-error-skeleton.c:208
 #6 _dl_catch_error at /usr/src/debug/glibc-2.35-20.fc36.x86_64/elf/dl-error-skeleton.c:227
 #7 do_preload at rtld.c:841
 #8 handle_preload_list at rtld.c:917
 #9 dl_main at rtld.c:1891",None
2124510,"Description of problem:
Unable to check file permission with test command on aarch64 container


Version-Release number of selected component (if applicable):
For fedora 37:
```
coreutils.aarch64                         9.1-6.fc37                   @anaconda
coreutils-common.aarch64                  9.1-6.fc37                   @anaconda
```

How reproducible:
write a test.sh with content and execute
```
if [ -w ""/root"" ] ; then echo 'Success!' ; fi
```
We can see the success on x86 container and nothing on aarch64 container

Image we use: 
1. registry.fedoraproject.org/fedora:35
2. registry.fedoraproject.org/fedora:36
3. registry.fedoraproject.org/fedora:37

Steps to Reproduce:
1.
2.
3.

Actual results:


Expected results:


Additional info:","```bash
if [ -w ""/root"" ] ; then echo 'Success!' ; fi
```"
2112870,"Description of problem:

$ printf '\f'  | unexpand 
unexpand: input line is too long


Version-Release number of selected component (if applicable):




How reproducible:

Always


Steps to Reproduce:
1. printf '\f'  | unexpand 

Actual results:

unexpand: input line is too long

Expected results:

No error.

Additional info:

This seems to be a Fedora/RHEL bug, because it works fine on Ubuntu and Debian, and works fine on  BSD, Solaris and AIX.

Working versions

coreutils-8.22-24.el7_9.2.x86_64 (CentOS 7)
8.26-3 (Debian 9.13 stretch)
8.28-1ubuntu1 (Ubuntu 18.04)
8.32-4.1ubuntu1 (Ubuntu 22.04)
8.32-4.1 (Debian unstable sid)
9.1.43-ab976f (self-built from coreutils Git repo)

Not working versions:

coreutils-8.30-12.el8.x86_64 (CentOS 8)
coreutils-9.0-5.fc36.x86_64 (Fedora 36)","```sh
printf '\f' | unexpand
```"
548834,"Description of problem:
I am running rawhide with f12 kernels (due to f13 kernels not booting) and recently uname -i started returning unknown instead of i386 which broke some scripts I was using.

Version-Release number of selected component (if applicable):
coreutils-8.2-3.fc13.i686

How reproducible:


Steps to Reproduce:
1.
2.
3.
  
Actual results:


Expected results:


Additional info:",None
2112593,"Description of problem:

The /etc/DIRCOLORS file mentions that we can create a copy of itself under ~/.dir_colors in order to customize the various colors of ""ls"".

Unfortunately, when I do that, each time a terminal window (gnome-terminal) opens, it produces the following error:

/usr/bin/cat: /home/user/.dir_colors: Is a directory


Version-Release number of selected component (if applicable):

coreutils-common (at least that is what I when from ""dnf provides /etc/profile.d/colorls.sh""


How reproducible:

always!


Steps to Reproduce:
1. mkdir ~/.dir_colors
2. cp /etc/DIR_COLORS ~/.dir_colors
3. gnome-terminal

Actual results:

/usr/bin/cat: /home/user/.dir_colors: Is a directory


Expected results:

No error.


Additional info:

Thank you!","mkdir ~/.dir_colors  
cp /etc/DIR_COLORS ~/.dir_colors  
gnome-terminal"
